Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,DPA Diagram,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,,
5,MinimalTextBlock,Standard,2,,,,,,,,Data Platform Architecture,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,,
7,MinimalTextBlock,Standard,2,,,,,,,,Data Sources,
8,Plans,Azure 2021,2,,,,,,,,Structured,
9,Shared Image Galleries,Azure 2021,2,,,,,,,,Semi-Structured,
10,Files,Azure 2021,2,,,,,,,,Unstructured,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,,
12,MinimalTextBlock,Standard,2,,,,,,,,Data Pipeline,
13,Production Ready Database,Azure 2021,2,,,,,,,,Validate,
14,Backlog,Azure 2021,2,,,,,,,,Data Clean,
15,Storage Queue,Azure 2021,2,,,,,,,,Standardise,
16,Search Grid,Azure 2021,2,,,,,,,,Curate,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,,
18,MinimalTextBlock,Standard,2,,,,,,,,Lake House,
19,File,Azure 2021,2,,,,,,,,Open Table Format,
20,Versions,Azure 2021,2,,,,,,,,Data Version Control,
21,Data Lake,Azure 2019,2,,,,,,,,Data Lake,
22,Machine Learning Studio (Classic) Web Services,Azure 2021,2,,,,,,,,,
23,MinimalTextBlock,Standard,2,,,,,,,,Machine Learning / AI Training,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Data Stream,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Real-time Analytics,
26,CDN Profiles,Azure 2021,2,,,,,,,,,
27,Performance Dashboard,Google Cloud Platform 2021,2,,,,,,,,,
28,MinimalTextBlock,Standard,2,,,,,,,,Serve,
29,SQL Data Warehouses,Azure 2021,2,,,,,,,,Data Warehouse,
30,Cloud Machine Learning,Google Cloud Platform 2018,2,,,,,,,,ML / AI Applications,
31,Datastream,Google Cloud Platform 2021,2,,,,,,,,Datastream,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,,
33,MinimalTextBlock,Standard,2,,,,,,,,Consume,
34,API,Google Cloud Platform 2021,2,,,,,,,,API,
35,Managed Applications,Azure 2019,2,,,,,,,,Application,
36,Amazon Chime SDK,AWS Architecture 2021,2,,,,,,,,Business Intelligence,
37,Groups,Azure 2021,2,,,,,,,,,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,,
39,MinimalTextBlock,Standard,2,,,,,,,,Govern,
40,Management Groups,Azure 2021,2,,,,,,,,Data Linage,
41,Cubes,Azure 2021,2,,,,,,,,Classification,
42,Security Center,Azure 2019,2,,,,,,,,Data Security,
43,User Privacy,Azure 2021,2,,,,,,,,Privacy & Access,
44,Catalog,Google Cloud Platform 2021,2,,,,,,,,Discover & Catalog,
45,Help And Support,Azure 2021,2,,,,,,,,Quality & Standards,
46,Gear,Azure 2021,2,,,,,,,,Regulation & Standards,
47,Line,,2,,,37,33,None,Arrow,,,
48,Line,,2,,,6,17,None,Open Arrow,,,
49,Line,,2,,,6,24,None,Open Arrow,,,
50,Line,,2,,,24,25,None,Open Arrow,,,
51,Line,,2,,,25,17,None,Open Arrow,,,
52,Line,,2,,,4,25,None,Open Arrow,,,
53,Line,,2,,,4,17,None,Open Arrow,,,
54,Line,,2,,,3,32,None,Open Arrow,,,
55,Line,,2,,,13,17,None,Open Arrow,,,
56,Line,,2,,,14,17,None,Open Arrow,,,
